cycle,file,rows,columns_n,unique_participants,columns
NHANES 2011-2012,DEMO_G.xpt,9756,48,9756,"SEQN, SDDSRVYR, RIDSTATR, RIAGENDR, RIDAGEYR, RIDAGEMN, RIDRETH1, RIDRETH3, RIDEXMON, RIDEXAGY, RIDEXAGM, DMQMILIZ, DMQADFC, DMDBORN4, DMDCITZN, DMDYRSUS, DMDEDUC3, DMDEDUC2, DMDMARTL, RIDEXPRG, SIALANG, SIAPROXY, SIAINTRP, FIALANG, FIAPROXY, FIAINTRP, MIALANG, MIAPROXY, MIAINTRP, AIALANGA, WTINT2YR, WTMEC2YR, SDMVPSU, SDMVSTRA, INDHHIN2, INDFMIN2, INDFMPIR, DMDHHSIZ, DMDFMSIZ, DMDHHSZA, DMDHHSZB, DMDHHSZE, DMDHRGND, DMDHRAGE, DMDHRBR4, DMDHREDU, DMDHRMAR, DMDHSEDU"
NHANES 2011-2012,BMX_G.xpt,9338,26,9338,"SEQN, BMDSTATS, BMXWT, BMIWT, BMXRECUM, BMIRECUM, BMXHEAD, BMIHEAD, BMXHT, BMIHT, BMXBMI, BMDBMIC, BMXLEG, BMILEG, BMXARML, BMIARML, BMXARMC, BMIARMC, BMXWAIST, BMIWAIST, BMXSAD1, BMXSAD2, BMXSAD3, BMXSAD4, BMDAVSAD, BMDSADCM"
NHANES 2011-2012,PAXHD_G.xpt,7821,9,7821,"SEQN, PAXSTS, PAXSENID, PAXFDAY, PAXLDAY, PAXFTIME, PAXETLDY, PAXHAND, PAXORENT"
NHANES 2011-2012,PAXDAY_G.xpt,61168,15,6917,"SEQN, PAXDAYD, PAXDAYWD, PAXSSNDP, PAXMSTD, PAXTMD, PAXAISMD, PAXVMD, PAXMTSD, PAXWWMD, PAXSWMD, PAXNWMD, PAXUMD, PAXLXSD, PAXQFD"
NHANES 2011-2012,PFQ_G.xpt,8350,35,8350,"SEQN, PFQ020, PFQ030, PFQ041, PFQ049, PFQ051, PFQ054, PFQ057, PFQ059, PFQ061A, PFQ061B, PFQ061C, PFQ061D, PFQ061E, PFQ061F, PFQ061G, PFQ061H, PFQ061I, PFQ061J, PFQ061K, PFQ061L, PFQ061M, PFQ061N, PFQ061O, PFQ061P, PFQ061Q, PFQ061R, PFQ061S, PFQ061T, PFQ063A, PFQ063B, PFQ063C, PFQ063D, PFQ063E, PFQ090"
NHANES 2013-2014,DEMO_H.xpt,10175,47,10175,"SEQN, SDDSRVYR, RIDSTATR, RIAGENDR, RIDAGEYR, RIDAGEMN, RIDRETH1, RIDRETH3, RIDEXMON, RIDEXAGM, DMQMILIZ, DMQADFC, DMDBORN4, DMDCITZN, DMDYRSUS, DMDEDUC3, DMDEDUC2, DMDMARTL, RIDEXPRG, SIALANG, SIAPROXY, SIAINTRP, FIALANG, FIAPROXY, FIAINTRP, MIALANG, MIAPROXY, MIAINTRP, AIALANGA, DMDHHSIZ, DMDFMSIZ, DMDHHSZA, DMDHHSZB, DMDHHSZE, DMDHRGND, DMDHRAGE, DMDHRBR4, DMDHREDU, DMDHRMAR, DMDHSEDU, WTINT2YR, WTMEC2YR, SDMVPSU, SDMVSTRA, INDHHIN2, INDFMIN2, INDFMPIR"
NHANES 2013-2014,BMX_H.xpt,9813,26,9813,"SEQN, BMDSTATS, BMXWT, BMIWT, BMXRECUM, BMIRECUM, BMXHEAD, BMIHEAD, BMXHT, BMIHT, BMXBMI, BMDBMIC, BMXLEG, BMILEG, BMXARML, BMIARML, BMXARMC, BMIARMC, BMXWAIST, BMIWAIST, BMXSAD1, BMXSAD2, BMXSAD3, BMXSAD4, BMDAVSAD, BMDSADCM"
NHANES 2013-2014,PAXHD_H.xpt,8913,9,8913,"SEQN, PAXSTS, PAXSENID, PAXFDAY, PAXLDAY, PAXFTIME, PAXETLDY, PAXHAND, PAXORENT"
NHANES 2013-2014,PAXDAY_H.xpt,69018,15,7776,"SEQN, PAXDAYD, PAXDAYWD, PAXSSNDP, PAXMSTD, PAXTMD, PAXAISMD, PAXVMD, PAXMTSD, PAXWWMD, PAXSWMD, PAXNWMD, PAXUMD, PAXLXSD, PAXQFD"
NHANES 2013-2014,PFQ_H.xpt,9230,36,9230,"SEQN, PFQ020, PFQ030, PFQ033, PFQ041, PFQ049, PFQ051, PFQ054, PFQ057, PFQ059, PFQ061A, PFQ061B, PFQ061C, PFQ061D, PFQ061E, PFQ061F, PFQ061G, PFQ061H, PFQ061I, PFQ061J, PFQ061K, PFQ061L, PFQ061M, PFQ061N, PFQ061O, PFQ061P, PFQ061Q, PFQ061R, PFQ061S, PFQ061T, PFQ063A, PFQ063B, PFQ063C, PFQ063D, PFQ063E, PFQ090"
